# cyclic conformance fixture - regenerate with npm run goldens
# normalizeCyclicStep(number): input_bits,min,max
c000000000000000,0,0
bfe0000000000000,0,0
0000000000000000,0,0
3fe0000000000000,1,1
3ff8000000000000,2,2
4000000000000000,2,2
4004000000000000,3,3
4010000000000000,4,4
4012000000000000,4,4
4022000000000000,4,4
# normalizeCyclicStep(range): min_bits,max_bits,min,max
0000000000000000,4010000000000000,0,4
4010000000000000,0000000000000000,0,4
4000000000000000,4000000000000000,2,2
c008000000000000,4022000000000000,0,4
3ff8000000000000,4004000000000000,2,3
4008000000000000,3ff0000000000000,1,3
# pickCyclicLevel: seed,min,max,index,value
1,0,0,0,0
1,0,0,1,0
1,0,0,2,0
1,0,0,3,0
1,0,0,4,0
1,0,0,5,0
1,0,0,6,0
1,0,0,7,0
1,2,2,0,2
1,2,2,1,2
1,2,2,2,2
1,2,2,3,2
1,2,2,4,2
1,2,2,5,2
1,2,2,6,2
1,2,2,7,2
1,0,4,0,3
1,0,4,1,0
1,0,4,2,2
1,0,4,3,4
1,0,4,4,4
1,0,4,5,1
1,0,4,6,3
1,0,4,7,3
1,1,3,0,2
1,1,3,1,1
1,1,3,2,2
1,1,3,3,3
1,1,3,4,3
1,1,3,5,1
1,1,3,6,2
1,1,3,7,3
1,3,4,0,4
1,3,4,1,3
1,3,4,2,4
1,3,4,3,4
1,3,4,4,4
1,3,4,5,3
1,3,4,6,4
1,3,4,7,4
42,0,0,0,0
42,0,0,1,0
42,0,0,2,0
42,0,0,3,0
42,0,0,4,0
42,0,0,5,0
42,0,0,6,0
42,0,0,7,0
42,2,2,0,2
42,2,2,1,2
42,2,2,2,2
42,2,2,3,2
42,2,2,4,2
42,2,2,5,2
42,2,2,6,2
42,2,2,7,2
42,0,4,0,3
42,0,4,1,2
42,0,4,2,4
42,0,4,3,3
42,0,4,4,0
42,0,4,5,2
42,0,4,6,1
42,0,4,7,3
42,1,3,0,2
42,1,3,1,2
42,1,3,2,3
42,1,3,3,3
42,1,3,4,1
42,1,3,5,2
42,1,3,6,1
42,1,3,7,2
42,3,4,0,4
42,3,4,1,3
42,3,4,2,4
42,3,4,3,4
42,3,4,4,3
42,3,4,5,4
42,3,4,6,3
42,3,4,7,4
4294967295,0,0,0,0
4294967295,0,0,1,0
4294967295,0,0,2,0
4294967295,0,0,3,0
4294967295,0,0,4,0
4294967295,0,0,5,0
4294967295,0,0,6,0
4294967295,0,0,7,0
4294967295,2,2,0,2
4294967295,2,2,1,2
4294967295,2,2,2,2
4294967295,2,2,3,2
4294967295,2,2,4,2
4294967295,2,2,5,2
4294967295,2,2,6,2
4294967295,2,2,7,2
4294967295,0,4,0,4
4294967295,0,4,1,0
4294967295,0,4,2,3
4294967295,0,4,3,4
4294967295,0,4,4,4
4294967295,0,4,5,2
4294967295,0,4,6,3
4294967295,0,4,7,2
4294967295,1,3,0,3
4294967295,1,3,1,1
4294967295,1,3,2,3
4294967295,1,3,3,3
4294967295,1,3,4,3
4294967295,1,3,5,2
4294967295,1,3,6,3
4294967295,1,3,7,2
4294967295,3,4,0,4
4294967295,3,4,1,3
4294967295,3,4,2,4
4294967295,3,4,3,4
4294967295,3,4,4,4
4294967295,3,4,5,4
4294967295,3,4,6,4
4294967295,3,4,7,3
# pickCyclicLevel(sequence): seed,index,min,max,value
1,0,2,2,2
1,1,0,4,3
1,2,1,1,1
1,3,1,3,1
1,4,3,3,3
1,5,0,2,1
1,6,4,4,4
1,7,2,4,4
1,8,0,0,0
1,9,1,4,4
1,10,3,3,3
1,11,0,1,0
42,0,2,2,2
42,1,0,4,3
42,2,1,1,1
42,3,1,3,2
42,4,3,3,3
42,5,0,2,2
42,6,4,4,4
42,7,2,4,4
42,8,0,0,0
42,9,1,4,1
42,10,3,3,3
42,11,0,1,1
# cyclicLengthFromStepIndex: input_bits,result
c014000000000000,1
bfe0000000000000,1
0000000000000000,1
3fe0000000000000,2
3ff0000000000000,2
401e000000000000,9
402e000000000000,16
4030000000000000,16
4058c00000000000,16
