# music conformance fixture - regenerate with npm run goldens
# scales: name,degree;degree;...
chromatic,0;1;2;3;4;5;6;7;8;9;10;11
major,0;2;4;5;7;9;11
minor,0;2;3;5;7;8;10
dorian,0;2;3;5;7;9;10
mixolydian,0;2;4;5;7;9;10
lydian,0;2;4;6;7;9;11
phrygian,0;1;3;5;7;8;10
harmonicMinor,0;2;3;5;7;8;11
majorPentatonic,0;2;4;7;9
minorPentatonic,0;3;5;7;10
blues,0;3;5;6;7;10
# snapToScale: scale,root,note,result
chromatic,0,-13,-13
chromatic,0,-1,-1
chromatic,0,0,0
chromatic,0,1,1
chromatic,0,11,11
chromatic,0,12,12
chromatic,0,47,47
chromatic,0,60,60
chromatic,0,61,61
chromatic,0,66,66
chromatic,0,71,71
chromatic,0,127,127
chromatic,0,128,128
chromatic,0,140,140
chromatic,1,-13,-13
chromatic,1,-1,-1
chromatic,1,0,0
chromatic,1,1,1
chromatic,1,11,11
chromatic,1,12,12
chromatic,1,47,47
chromatic,1,60,60
chromatic,1,61,61
chromatic,1,66,66
chromatic,1,71,71
chromatic,1,127,127
chromatic,1,128,128
chromatic,1,140,140
chromatic,5,-13,-13
chromatic,5,-1,-1
chromatic,5,0,0
chromatic,5,1,1
chromatic,5,11,11
chromatic,5,12,12
chromatic,5,47,47
chromatic,5,60,60
chromatic,5,61,61
chromatic,5,66,66
chromatic,5,71,71
chromatic,5,127,127
chromatic,5,128,128
chromatic,5,140,140
chromatic,7,-13,-13
chromatic,7,-1,-1
chromatic,7,0,0
chromatic,7,1,1
chromatic,7,11,11
chromatic,7,12,12
chromatic,7,47,47
chromatic,7,60,60
chromatic,7,61,61
chromatic,7,66,66
chromatic,7,71,71
chromatic,7,127,127
chromatic,7,128,128
chromatic,7,140,140
chromatic,11,-13,-13
chromatic,11,-1,-1
chromatic,11,0,0
chromatic,11,1,1
chromatic,11,11,11
chromatic,11,12,12
chromatic,11,47,47
chromatic,11,60,60
chromatic,11,61,61
chromatic,11,66,66
chromatic,11,71,71
chromatic,11,127,127
chromatic,11,128,128
chromatic,11,140,140
major,0,-13,-13
major,0,-1,-1
major,0,0,0
major,0,1,0
major,0,11,11
major,0,12,12
major,0,47,47
major,0,60,60
major,0,61,60
major,0,66,65
major,0,71,71
major,0,127,127
major,0,128,127
major,0,140,139
major,1,-13,-14
major,1,-1,-2
major,1,0,0
major,1,1,1
major,1,11,10
major,1,12,12
major,1,47,46
major,1,60,60
major,1,61,61
major,1,66,66
major,1,71,70
major,1,127,126
major,1,128,128
major,1,140,140
major,5,-13,-14
major,5,-1,-2
major,5,0,0
major,5,1,0
major,5,11,10
major,5,12,12
major,5,47,46
major,5,60,60
major,5,61,60
major,5,66,65
major,5,71,70
major,5,127,127
major,5,128,127
major,5,140,139
major,7,-13,-13
major,7,-1,-1
major,7,0,0
major,7,1,0
major,7,11,11
major,7,12,12
major,7,47,47
major,7,60,60
major,7,61,60
major,7,66,66
major,7,71,71
major,7,127,127
major,7,128,127
major,7,140,139
major,11,-13,-13
major,11,-1,-1
major,11,0,-1
major,11,1,1
major,11,11,11
major,11,12,11
major,11,47,47
major,11,60,59
major,11,61,61
major,11,66,66
major,11,71,71
major,11,127,126
major,11,128,128
major,11,140,140
minor,0,-13,-12
minor,0,-1,0
minor,0,0,0
minor,0,1,0
minor,0,11,12
minor,0,12,12
minor,0,47,48
minor,0,60,60
minor,0,61,60
minor,0,66,65
minor,0,71,72
minor,0,127,127
minor,0,128,128
minor,0,140,140
minor,1,-13,-13
minor,1,-1,-1
minor,1,0,1
minor,1,1,1
minor,1,11,11
minor,1,12,13
minor,1,47,47
minor,1,60,61
minor,1,61,61
minor,1,66,66
minor,1,71,71
minor,1,127,126
minor,1,128,128
minor,1,140,140
minor,5,-13,-14
minor,5,-1,-2
minor,5,0,0
minor,5,1,1
minor,5,11,10
minor,5,12,12
minor,5,47,46
minor,5,60,60
minor,5,61,61
minor,5,66,65
minor,5,71,70
minor,5,127,127
minor,5,128,128
minor,5,140,140
minor,7,-13,-14
minor,7,-1,-2
minor,7,0,0
minor,7,1,0
minor,7,11,10
minor,7,12,12
minor,7,47,46
minor,7,60,60
minor,7,61,60
minor,7,66,67
minor,7,71,70
minor,7,127,127
minor,7,128,127
minor,7,140,139
minor,11,-13,-13
minor,11,-1,-1
minor,11,0,-1
minor,11,1,1
minor,11,11,11
minor,11,12,11
minor,11,47,47
minor,11,60,59
minor,11,61,61
minor,11,66,66
minor,11,71,71
minor,11,127,127
minor,11,128,127
minor,11,140,139
dorian,0,-13,-12
dorian,0,-1,0
dorian,0,0,0
dorian,0,1,0
dorian,0,11,12
dorian,0,12,12
dorian,0,47,48
dorian,0,60,60
dorian,0,61,60
dorian,0,66,65
dorian,0,71,72
dorian,0,127,127
dorian,0,128,127
dorian,0,140,139
dorian,1,-13,-13
dorian,1,-1,-1
dorian,1,0,1
dorian,1,1,1
dorian,1,11,11
dorian,1,12,13
dorian,1,47,47
dorian,1,60,61
dorian,1,61,61
dorian,1,66,66
dorian,1,71,71
dorian,1,127,126
dorian,1,128,128
dorian,1,140,140
dorian,5,-13,-14
dorian,5,-1,-2
dorian,5,0,0
dorian,5,1,0
dorian,5,11,10
dorian,5,12,12
dorian,5,47,46
dorian,5,60,60
dorian,5,61,60
dorian,5,66,65
dorian,5,71,70
dorian,5,127,127
dorian,5,128,128
dorian,5,140,140
dorian,7,-13,-14
dorian,7,-1,-2
dorian,7,0,0
dorian,7,1,0
dorian,7,11,10
dorian,7,12,12
dorian,7,47,46
dorian,7,60,60
dorian,7,61,60
dorian,7,66,67
dorian,7,71,70
dorian,7,127,127
dorian,7,128,127
dorian,7,140,139
dorian,11,-13,-13
dorian,11,-1,-1
dorian,11,0,-1
dorian,11,1,1
dorian,11,11,11
dorian,11,12,11
dorian,11,47,47
dorian,11,60,59
dorian,11,61,61
dorian,11,66,66
dorian,11,71,71
dorian,11,127,126
dorian,11,128,128
dorian,11,140,140
mixolydian,0,-13,-12
mixolydian,0,-1,0
mixolydian,0,0,0
mixolydian,0,1,0
mixolydian,0,11,12
mixolydian,0,12,12
mixolydian,0,47,48
mixolydian,0,60,60
mixolydian,0,61,60
mixolydian,0,66,65
mixolydian,0,71,72
mixolydian,0,127,127
mixolydian,0,128,127
mixolydian,0,140,139
mixolydian,1,-13,-13
mixolydian,1,-1,-1
mixolydian,1,0,1
mixolydian,1,1,1
mixolydian,1,11,11
mixolydian,1,12,13
mixolydian,1,47,47
mixolydian,1,60,61
mixolydian,1,61,61
mixolydian,1,66,66
mixolydian,1,71,71
mixolydian,1,127,126
mixolydian,1,128,128
mixolydian,1,140,140
mixolydian,5,-13,-14
mixolydian,5,-1,-2
mixolydian,5,0,0
mixolydian,5,1,0
mixolydian,5,11,10
mixolydian,5,12,12
mixolydian,5,47,46
mixolydian,5,60,60
mixolydian,5,61,60
mixolydian,5,66,65
mixolydian,5,71,70
mixolydian,5,127,127
mixolydian,5,128,127
mixolydian,5,140,139
mixolydian,7,-13,-13
mixolydian,7,-1,-1
mixolydian,7,0,0
mixolydian,7,1,0
mixolydian,7,11,11
mixolydian,7,12,12
mixolydian,7,47,47
mixolydian,7,60,60
mixolydian,7,61,60
mixolydian,7,66,67
mixolydian,7,71,71
mixolydian,7,127,127
mixolydian,7,128,127
mixolydian,7,140,139
mixolydian,11,-13,-13
mixolydian,11,-1,-1
mixolydian,11,0,-1
mixolydian,11,1,1
mixolydian,11,11,11
mixolydian,11,12,11
mixolydian,11,47,47
mixolydian,11,60,59
mixolydian,11,61,61
mixolydian,11,66,66
mixolydian,11,71,71
mixolydian,11,127,126
mixolydian,11,128,128
mixolydian,11,140,140
lydian,0,-13,-13
lydian,0,-1,-1
lydian,0,0,0
lydian,0,1,0
lydian,0,11,11
lydian,0,12,12
lydian,0,47,47
lydian,0,60,60
lydian,0,61,60
lydian,0,66,66
lydian,0,71,71
lydian,0,127,127
lydian,0,128,127
lydian,0,140,139
lydian,1,-13,-14
lydian,1,-1,-2
lydian,1,0,0
lydian,1,1,1
lydian,1,11,10
lydian,1,12,12
lydian,1,47,46
lydian,1,60,60
lydian,1,61,61
lydian,1,66,65
lydian,1,71,70
lydian,1,127,127
lydian,1,128,128
lydian,1,140,140
lydian,5,-13,-13
lydian,5,-1,-1
lydian,5,0,0
lydian,5,1,0
lydian,5,11,11
lydian,5,12,12
lydian,5,47,47
lydian,5,60,60
lydian,5,61,60
lydian,5,66,65
lydian,5,71,71
lydian,5,127,127
lydian,5,128,127
lydian,5,140,139
lydian,7,-13,-13
lydian,7,-1,-1
lydian,7,0,-1
lydian,7,1,1
lydian,7,11,11
lydian,7,12,11
lydian,7,47,47
lydian,7,60,59
lydian,7,61,61
lydian,7,66,66
lydian,7,71,71
lydian,7,127,127
lydian,7,128,127
lydian,7,140,139
lydian,11,-13,-13
lydian,11,-1,-1
lydian,11,0,-1
lydian,11,1,1
lydian,11,11,11
lydian,11,12,11
lydian,11,47,47
lydian,11,60,59
lydian,11,61,61
lydian,11,66,66
lydian,11,71,71
lydian,11,127,126
lydian,11,128,128
lydian,11,140,140
phrygian,0,-13,-12
phrygian,0,-1,0
phrygian,0,0,0
phrygian,0,1,1
phrygian,0,11,12
phrygian,0,12,12
phrygian,0,47,48
