# mulberry32 conformance fixture - regenerate with scripts/goldens.ts
# raw u32 draws: seed,index,u32
0,0,1144304738
0,1,1416247
0,2,958946056
0,3,627933444
0,4,2007157716
0,5,2340967985
0,6,2642484575
0,7,2787370982
0,8,1958536065
0,9,2496316458
0,10,1057668038
0,11,420269829
0,12,3880206403
0,13,1753221639
0,14,3093645806
0,15,2834277798
0,16,3461135945
0,17,2689471814
0,18,2446805548
0,19,520706110
0,20,1039085773
0,21,3502012905
0,22,1389514724
0,23,377227102
0,24,3391205708
0,25,3899781586
0,26,2369618447
0,27,2013468567
0,28,1529718489
0,29,418531927
0,30,3230986041
0,31,2261825274
1,0,2693262067
1,1,11749833
1,2,2265367787
1,3,4213581821
1,4,4159151403
1,5,1207330352
1,6,2632122864
1,7,3095568220
1,8,1828783984
1,9,4272732017
1,10,1955374602
1,11,2099329838
1,12,596715197
1,13,1734070562
1,14,1063107040
1,15,663542962
1,16,2100857034
1,17,289351446
1,18,1694877057
1,19,3294703884
1,20,1227766539
1,21,819795777
1,22,183522707
1,23,1835591523
1,24,2535673501
1,25,3430322586
1,26,1266456452
1,27,882486014
1,28,2826645300
1,29,2345405884
1,30,3257487196
1,31,828129958
42,0,2581720956
42,1,1925393290
42,2,3661312704
42,3,2876485805
42,4,750819978
42,5,2261697747
42,6,1173505300
42,7,2683257857
42,8,3717185310
42,9,2028586305
42,10,1073414265
42,11,3788413843
42,12,3202918453
42,13,1318561460
42,14,847198783
42,15,2150616774
42,16,2948976162
42,17,2622596789
42,18,16505353
42,19,2021992966
42,20,3596336860
42,21,219942124
42,22,2544012168
42,23,135454488
42,24,1146567233
42,25,265349060
42,26,797528213
42,27,3365309999
42,28,2277774085
42,29,116495015
42,30,743051824
42,31,3619317939
2654435761,0,2347010974
2654435761,1,1973779238
2654435761,2,1061036011
2654435761,3,2230376248
2654435761,4,3819464677
2654435761,5,3016964525
2654435761,6,1827482187
2654435761,7,2020816894
2654435761,8,2994280687
2654435761,9,2041904128
2654435761,10,239270300
2654435761,11,2242757345
2654435761,12,2041381432
2654435761,13,2298694729
2654435761,14,4029281551
2654435761,15,3779422203
2654435761,16,2076186780
2654435761,17,4133081452
2654435761,18,2265519458
2654435761,19,2962329037
2654435761,20,3409083547
2654435761,21,1034701379
2654435761,22,66875010
2654435761,23,2787807415
2654435761,24,3147216132
2654435761,25,895377590
2654435761,26,2941257779
2654435761,27,1045510193
2654435761,28,4102379516
2654435761,29,1728125989
2654435761,30,2235586134
2654435761,31,4222068046
4294967295,0,3850105811
4294967295,1,813802916
4294967295,2,3073704848
4294967295,3,4054706436
4294967295,4,3630262831
4294967295,5,2315588663
4294967295,6,2922715533
4294967295,7,2042566601
4294967295,8,583504547
4294967295,9,4245337221
4294967295,10,3742924205
4294967295,11,813245438
4294967295,12,1476122856
4294967295,13,3172627373
4294967295,14,2044370029
4294967295,15,3250051920
4294967295,16,3933861565
4294967295,17,438417209
4294967295,18,616800795
4294967295,19,1684359882
4294967295,20,3952404978
4294967295,21,3968000925
4294967295,22,3400064766
4294967295,23,3659549576
4294967295,24,495308333
4294967295,25,391921960
4294967295,26,2212355550
4294967295,27,1181895847
4294967295,28,1321391173
4294967295,29,84734988
4294967295,30,1953484427
4294967295,31,1090089882
1831565813,0,1416247
1831565813,1,958946056
1831565813,2,627933444
1831565813,3,2007157716
1831565813,4,2340967985
1831565813,5,2642484575
1831565813,6,2787370982
1831565813,7,1958536065
1831565813,8,2496316458
1831565813,9,1057668038
1831565813,10,420269829
1831565813,11,3880206403
1831565813,12,1753221639
1831565813,13,3093645806
1831565813,14,2834277798
1831565813,15,3461135945
1831565813,16,2689471814
1831565813,17,2446805548
1831565813,18,520706110
1831565813,19,1039085773
1831565813,20,3502012905
1831565813,21,1389514724
1831565813,22,377227102
1831565813,23,3391205708
1831565813,24,3899781586
1831565813,25,2369618447
1831565813,26,2013468567
1831565813,27,1529718489
1831565813,28,418531927
1831565813,29,3230986041
1831565813,30,2261825274
1831565813,31,879468673
# Rng.int(n): seed,n,index,value
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,2,5,1
0,2,6,1
0,2,7,1
0,7,0,1
0,7,1,0
0,7,2,1
0,7,3,1
0,7,4,3
0,7,5,3
0,7,6,4
0,7,7,4
0,16,0,4
0,16,1,0
0,16,2,3
0,16,3,2
0,16,4,7
0,16,5,8
0,16,6,9
0,16,7,10
0,128,0,34
0,128,1,0
0,128,2,28
0,128,3,18
0,128,4,59
0,128,5,69
0,128,6,78
0,128,7,83
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,2,0,1
1,2,1,0
1,2,2,1
1,2,3,1
1,2,4,1
1,2,5,0
1,2,6,1
1,2,7,1
1,7,0,4
1,7,1,0
1,7,2,3
1,7,3,6
1,7,4,6
1,7,5,1
1,7,6,4
1,7,7,5
1,16,0,10
1,16,1,0
1,16,2,8
1,16,3,15
1,16,4,15
1,16,5,4
1,16,6,9
1,16,7,11
1,128,0,80
1,128,1,0
1,128,2,67
1,128,3,125
1,128,4,123
1,128,5,35
1,128,6,78
1,128,7,92
42,1,0,0
42,1,1,0
42,1,2,0
42,1,3,0
42,1,4,0
42,1,5,0
42,1,6,0
42,1,7,0
42,2,0,1
42,2,1,0
42,2,2,1
42,2,3,1
42,2,4,0
42,2,5,1
42,2,6,0
42,2,7,1
42,7,0,4
42,7,1,3
42,7,2,5
42,7,3,4
42,7,4,1
42,7,5,3
42,7,6,1
42,7,7,4
42,16,0,9
42,16,1,7
42,16,2,13
42,16,3,10
42,16,4,2
42,16,5,8
42,16,6,4
42,16,7,9
42,128,0,76
42,128,1,57
42,128,2,109
42,128,3,85
42,128,4,22
42,128,5,67
42,128,6,34
42,128,7,79
2654435761,1,0,0
2654435761,1,1,0
2654435761,1,2,0
2654435761,1,3,0
2654435761,1,4,0
2654435761,1,5,0
2654435761,1,6,0
2654435761,1,7,0
2654435761,2,0,1
2654435761,2,1,0
2654435761,2,2,0
2654435761,2,3,1
2654435761,2,4,1
2654435761,2,5,1
2654435761,2,6,0
2654435761,2,7,0
2654435761,7,0,3
2654435761,7,1,3
2654435761,7,2,1
2654435761,7,3,3
2654435761,7,4,6
2654435761,7,5,4
2654435761,7,6,2
2654435761,7,7,3
2654435761,16,0,8
2654435761,16,1,7
2654435761,16,2,3
2654435761,16,3,8
2654435761,16,4,14
2654435761,16,5,11
2654435761,16,6,6
2654435761,16,7,7
2654435761,128,0,69
2654435761,128,1,58
2654435761,128,2,31
2654435761,128,3,66
2654435761,128,4,113
2654435761,128,5,89
2654435761,128,6,54
2654435761,128,7,60
4294967295,1,0,0
4294967295,1,1,0
4294967295,1,2,0
4294967295,1,3,0
4294967295,1,4,0
4294967295,1,5,0
4294967295,1,6,0
4294967295,1,7,0
4294967295,2,0,1
4294967295,2,1,0
4294967295,2,2,1
4294967295,2,3,1
4294967295,2,4,1
4294967295,2,5,1
4294967295,2,6,1
4294967295,2,7,0
4294967295,7,0,6
4294967295,7,1,1
4294967295,7,2,5
4294967295,7,3,6
4294967295,7,4,5
4294967295,7,5,3
4294967295,7,6,4
4294967295,7,7,3
4294967295,16,0,14
4294967295,16,1,3
4294967295,16,2,11
4294967295,16,3,15
4294967295,16,4,13
4294967295,16,5,8
4294967295,16,6,10
4294967295,16,7,7
4294967295,128,0,114
4294967295,128,1,24
4294967295,128,2,91
4294967295,128,3,120
4294967295,128,4,108
4294967295,128,5,69
4294967295,128,6,87
4294967295,128,7,60
1831565813,1,0,0
1831565813,1,1,0
1831565813,1,2,0
1831565813,1,3,0
1831565813,1,4,0
1831565813,1,5,0
1831565813,1,6,0
1831565813,1,7,0
1831565813,2,0,0
1831565813,2,1,0
1831565813,2,2,0
1831565813,2,3,0
1831565813,2,4,1
1831565813,2,5,1
1831565813,2,6,1
1831565813,2,7,0
1831565813,7,0,0
1831565813,7,1,1
1831565813,7,2,1
1831565813,7,3,3
1831565813,7,4,3
1831565813,7,5,4
1831565813,7,6,4
1831565813,7,7,3
1831565813,16,0,0
1831565813,16,1,3
1831565813,16,2,2
1831565813,16,3,7
1831565813,16,4,8
1831565813,16,5,9
1831565813,16,6,10
1831565813,16,7,7
1831565813,128,0,0
1831565813,128,1,28
1831565813,128,2,18
1831565813,128,3,59
1831565813,128,4,69
1831565813,128,5,78
1831565813,128,6,83
1831565813,128,7,58
# Rng.pickIndexAvoiding(n, avoid): seed,n,avoid,index,value
0,1,0,0,0
0,1,0,1,0
0,1,0,2,0
0,1,0,3,0
0,1,0,4,0
0,1,0,5,0
0,1,0,6,0
0,1,0,7,0
0,2,0,0,1
0,2,0,1,1
0,2,0,2,1
0,2,0,3,1
0,2,0,4,1
0,2,0,5,1
0,2,0,6,1
0,2,0,7,1
0,2,1,0,0
0,2,1,1,0
0,2,1,2,0
0,2,1,3,0
0,2,1,4,0
0,2,1,5,0
0,2,1,6,0
0,2,1,7,0
0,8,3,0,1
0,8,3,1,0
0,8,3,2,1
0,8,3,3,1
0,8,3,4,4
0,8,3,5,4
0,8,3,6,5
0,8,3,7,5
0,8,7,0,1
0,8,7,1,0
0,8,7,2,1
0,8,7,3,1
0,8,7,4,3
0,8,7,5,3
0,8,7,6,4
0,8,7,7,4
1,1,0,0,0
1,1,0,1,0
1,1,0,2,0
1,1,0,3,0
1,1,0,4,0
1,1,0,5,0
1,1,0,6,0
1,1,0,7,0
1,2,0,0,1
1,2,0,1,1
1,2,0,2,1
1,2,0,3,1
1,2,0,4,1
1,2,0,5,1
1,2,0,6,1
1,2,0,7,1
1,2,1,0,0
1,2,1,1,0
1,2,1,2,0
1,2,1,3,0
1,2,1,4,0
1,2,1,5,0
1,2,1,6,0
1,2,1,7,0
1,8,3,0,5
1,8,3,1,0
1,8,3,2,4
1,8,3,3,7
1,8,3,4,7
1,8,3,5,1
1,8,3,6,5
1,8,3,7,6
1,8,7,0,4
1,8,7,1,0
1,8,7,2,3
1,8,7,3,6
1,8,7,4,6
1,8,7,5,1
1,8,7,6,4
1,8,7,7,5
42,1,0,0,0
42,1,0,1,0
42,1,0,2,0
42,1,0,3,0
42,1,0,4,0
42,1,0,5,0
42,1,0,6,0
42,1,0,7,0
42,2,0,0,1
42,2,0,1,1
42,2,0,2,1
42,2,0,3,1
42,2,0,4,1
42,2,0,5,1
42,2,0,6,1
42,2,0,7,1
42,2,1,0,0
42,2,1,1,0
42,2,1,2,0
42,2,1,3,0
42,2,1,4,0
42,2,1,5,0
42,2,1,6,0
42,2,1,7,0
42,8,3,0,5
42,8,3,1,4
42,8,3,2,6
42,8,3,3,5
42,8,3,4,1
42,8,3,5,4
42,8,3,6,1
42,8,3,7,5
42,8,7,0,4
42,8,7,1,3
42,8,7,2,5
42,8,7,3,4
42,8,7,4,1
42,8,7,5,3
42,8,7,6,1
42,8,7,7,4
2654435761,1,0,0,0
2654435761,1,0,1,0
2654435761,1,0,2,0
2654435761,1,0,3,0
2654435761,1,0,4,0
2654435761,1,0,5,0
2654435761,1,0,6,0
2654435761,1,0,7,0
2654435761,2,0,0,1
2654435761,2,0,1,1
2654435761,2,0,2,1
2654435761,2,0,3,1
2654435761,2,0,4,1
2654435761,2,0,5,1
2654435761,2,0,6,1
2654435761,2,0,7,1
2654435761,2,1,0,0
2654435761,2,1,1,0
2654435761,2,1,2,0
2654435761,2,1,3,0
2654435761,2,1,4,0
2654435761,2,1,5,0
2654435761,2,1,6,0
2654435761,2,1,7,0
2654435761,8,3,0,4
2654435761,8,3,1,4
2654435761,8,3,2,1
2654435761,8,3,3,4
2654435761,8,3,4,7
2654435761,8,3,5,5
2654435761,8,3,6,2
2654435761,8,3,7,4
2654435761,8,7,0,3
2654435761,8,7,1,3
2654435761,8,7,2,1
2654435761,8,7,3,3
2654435761,8,7,4,6
2654435761,8,7,5,4
2654435761,8,7,6,2
2654435761,8,7,7,3
4294967295,1,0,0,0
4294967295,1,0,1,0
4294967295,1,0,2,0
4294967295,1,0,3,0
4294967295,1,0,4,0
4294967295,1,0,5,0
4294967295,1,0,6,0
4294967295,1,0,7,0
4294967295,2,0,0,1
4294967295,2,0,1,1
4294967295,2,0,2,1
4294967295,2,0,3,1
4294967295,2,0,4,1
4294967295,2,0,5,1
4294967295,2,0,6,1
4294967295,2,0,7,1
4294967295,2,1,0,0
4294967295,2,1,1,0
4294967295,2,1,2,0
4294967295,2,1,3,0
4294967295,2,1,4,0
4294967295,2,1,5,0
4294967295,2,1,6,0
4294967295,2,1,7,0
4294967295,8,3,0,7
4294967295,8,3,1,1
4294967295,8,3,2,6
4294967295,8,3,3,7
4294967295,8,3,4,6
4294967295,8,3,5,4
4294967295,8,3,6,5
4294967295,8,3,7,4
4294967295,8,7,0,6
4294967295,8,7,1,1
4294967295,8,7,2,5
4294967295,8,7,3,6
4294967295,8,7,4,5
4294967295,8,7,5,3
4294967295,8,7,6,4
4294967295,8,7,7,3
1831565813,1,0,0,0
1831565813,1,0,1,0
1831565813,1,0,2,0
1831565813,1,0,3,0
1831565813,1,0,4,0
1831565813,1,0,5,0
1831565813,1,0,6,0
1831565813,1,0,7,0
1831565813,2,0,0,1
1831565813,2,0,1,1
1831565813,2,0,2,1
1831565813,2,0,3,1
1831565813,2,0,4,1
1831565813,2,0,5,1
1831565813,2,0,6,1
1831565813,2,0,7,1
1831565813,2,1,0,0
1831565813,2,1,1,0
1831565813,2,1,2,0
1831565813,2,1,3,0
1831565813,2,1,4,0
1831565813,2,1,5,0
1831565813,2,1,6,0
1831565813,2,1,7,0
1831565813,8,3,0,0
1831565813,8,3,1,1
1831565813,8,3,2,1
1831565813,8,3,3,4
1831565813,8,3,4,4
1831565813,8,3,5,5
1831565813,8,3,6,5
1831565813,8,3,7,4
1831565813,8,7,0,0
1831565813,8,7,1,1
1831565813,8,7,2,1
1831565813,8,7,3,3
1831565813,8,7,4,3
1831565813,8,7,5,4
1831565813,8,7,6,4
