# Time Distortion Map conformance fixture - regenerate with scripts/goldens.ts
# maps: id|length|denominator|x:y;x:y;...
neutral|1|4|
diagonal-explicit|1|4|0.5:0.5
slow-then-fast|1|4|0.5:0.25
fast-then-slow|2|8|0.5:0.75
s-curve|4|4|0.25:0.1;0.75:0.9
unordered|1|1|0.8:0.6;0.2:0.3;0.5:0.5
doubling-back|8|16|0.6:0.7;0.4:0.2
out-of-range|3|2|-0.5:1.5;1.5:-0.5
zero-width-span|1|4|0.5:0.2;0.5:0.8
step|16|4|0.5:0;0.5:1
barely-neutral|1|4|0.5:0.5000000005
barely-not-neutral|1|4|0.5:0.500000002
# normalizeTimeMap: id,index,x_bits,y_bits
diagonal-explicit,0,3fe0000000000000,3fe0000000000000
slow-then-fast,0,3fe0000000000000,3fd0000000000000
fast-then-slow,0,3fe0000000000000,3fe8000000000000
s-curve,0,3fd0000000000000,3fb999999999999a
s-curve,1,3fe8000000000000,3feccccccccccccd
unordered,0,3fc999999999999a,3fd3333333333333
unordered,1,3fe0000000000000,3fe0000000000000
unordered,2,3fe999999999999a,3fe3333333333333
doubling-back,0,3fd999999999999a,3fc999999999999a
doubling-back,1,3fe3333333333333,3fe6666666666666
out-of-range,0,0000000000000000,3ff0000000000000
out-of-range,1,3ff0000000000000,3ff0000000000000
zero-width-span,0,3fe0000000000000,3fc999999999999a
zero-width-span,1,3fe0000000000000,3fe999999999999a
step,0,3fe0000000000000,0000000000000000
step,1,3fe0000000000000,3ff0000000000000
barely-neutral,0,3fe0000000000000,3fe000000044b830
barely-not-neutral,0,3fe0000000000000,3fe000000112e0bf
# isNeutralTimeMap: id,value
neutral,1
diagonal-explicit,1
slow-then-fast,0
fast-then-slow,0
s-curve,0
unordered,0
doubling-back,0
out-of-range,0
zero-width-span,0
step,0
barely-neutral,1
barely-not-neutral,0
# realToClock: id,phase_bits,result_bits
neutral,0000000000000000,0000000000000000
neutral,3fb999999999999a,3fb999999999999a
neutral,3fd0000000000000,3fd0000000000000
neutral,3fd999999999999a,3fd999999999999a
neutral,3fe0000000000000,3fe0000000000000
neutral,3fe3333333333333,3fe3333333333333
neutral,3fe8000000000000,3fe8000000000000
neutral,3feccccccccccccd,3feccccccccccccd
neutral,3ff0000000000000,3ff0000000000000
neutral,3ff8000000000000,3ff0000000000000
neutral,bfd0000000000000,0000000000000000
diagonal-explicit,0000000000000000,0000000000000000
diagonal-explicit,3fb999999999999a,3fb999999999999a
diagonal-explicit,3fd0000000000000,3fd0000000000000
diagonal-explicit,3fd999999999999a,3fd999999999999a
diagonal-explicit,3fe0000000000000,3fe0000000000000
diagonal-explicit,3fe3333333333333,3fe3333333333333
diagonal-explicit,3fe8000000000000,3fe8000000000000
diagonal-explicit,3feccccccccccccd,3feccccccccccccd
diagonal-explicit,3ff0000000000000,3ff0000000000000
diagonal-explicit,3ff8000000000000,3ff0000000000000
diagonal-explicit,bfd0000000000000,0000000000000000
slow-then-fast,0000000000000000,0000000000000000
slow-then-fast,3fb999999999999a,3fa999999999999a
slow-then-fast,3fd0000000000000,3fc0000000000000
slow-then-fast,3fd999999999999a,3fc999999999999a
slow-then-fast,3fe0000000000000,3fd0000000000000
slow-then-fast,3fe3333333333333,3fd9999999999999
slow-then-fast,3fe8000000000000,3fe4000000000000
slow-then-fast,3feccccccccccccd,3feb333333333334
slow-then-fast,3ff0000000000000,3ff0000000000000
slow-then-fast,3ff8000000000000,3ff0000000000000
slow-then-fast,bfd0000000000000,0000000000000000
fast-then-slow,0000000000000000,0000000000000000
fast-then-slow,3fb999999999999a,3fc3333333333334
fast-then-slow,3fd0000000000000,3fd8000000000000
fast-then-slow,3fd999999999999a,3fe3333333333334
fast-then-slow,3fe0000000000000,3fe8000000000000
