# transform conformance fixture - regenerate with npm run goldens
# stepDurationSeconds: tempo_bits,numerator_bits,denominator_bits,result_bits
405e000000000000,3ff0000000000000,4010000000000000,3fe0000000000000
405e000000000000,3ff0000000000000,4020000000000000,3fd0000000000000
405e000000000000,4000000000000000,4010000000000000,3ff0000000000000
405e000000000000,4008000000000000,4030000000000000,3fd8000000000000
405e000000000000,3ff0000000000000,3ff0000000000000,4000000000000000
405e000000000000,4014000000000000,401c000000000000,3ff6db6db6db6db7
404e000000000000,3ff0000000000000,4010000000000000,3ff0000000000000
404e000000000000,3ff0000000000000,4020000000000000,3fe0000000000000
404e000000000000,4000000000000000,4010000000000000,4000000000000000
404e000000000000,4008000000000000,4030000000000000,3fe8000000000000
404e000000000000,3ff0000000000000,3ff0000000000000,4010000000000000
404e000000000000,4014000000000000,401c000000000000,4006db6db6db6db7
4040aaaaaaaaaaab,3ff0000000000000,4010000000000000,3ffccccccccccccc
4040aaaaaaaaaaab,3ff0000000000000,4020000000000000,3feccccccccccccc
4040aaaaaaaaaaab,4000000000000000,4010000000000000,400ccccccccccccc
4040aaaaaaaaaaab,4008000000000000,4030000000000000,3ff5999999999999
4040aaaaaaaaaaab,3ff0000000000000,3ff0000000000000,401ccccccccccccc
4040aaaaaaaaaaab,4014000000000000,401c000000000000,4014924924924924
406e000000000000,3ff0000000000000,4010000000000000,3fd0000000000000
406e000000000000,3ff0000000000000,4020000000000000,3fc0000000000000
406e000000000000,4000000000000000,4010000000000000,3fe0000000000000
406e000000000000,4008000000000000,4030000000000000,3fc8000000000000
406e000000000000,3ff0000000000000,3ff0000000000000,3ff0000000000000
406e000000000000,4014000000000000,401c000000000000,3fe6db6db6db6db7
# normalizeVelocityRange: low_bits,high_bits,low,high
0000000000000000,405fc00000000000,0,127
405fc00000000000,0000000000000000,0,127
c034000000000000,4069000000000000,0,127
404fc00000000000,4050200000000000,64,65
bfe0000000000000,3fe0000000000000,0,1
4024000000000000,4024000000000000,10,10
# velocityForAccent: low_bits,high_bits,level_bits,result
0000000000000000,405fc00000000000,bff0000000000000,0
0000000000000000,405fc00000000000,0000000000000000,0
0000000000000000,405fc00000000000,3fe0000000000000,0
0000000000000000,405fc00000000000,3ff0000000000000,0
0000000000000000,405fc00000000000,3ff8000000000000,42
0000000000000000,405fc00000000000,4000000000000000,42
0000000000000000,405fc00000000000,4008000000000000,85
0000000000000000,405fc00000000000,4010000000000000,127
0000000000000000,405fc00000000000,4012000000000000,127
0000000000000000,405fc00000000000,4022000000000000,127
4044000000000000,4059000000000000,bff0000000000000,0
4044000000000000,4059000000000000,0000000000000000,0
4044000000000000,4059000000000000,3fe0000000000000,40
4044000000000000,4059000000000000,3ff0000000000000,40
4044000000000000,4059000000000000,3ff8000000000000,60
4044000000000000,4059000000000000,4000000000000000,60
4044000000000000,4059000000000000,4008000000000000,80
4044000000000000,4059000000000000,4010000000000000,100
4044000000000000,4059000000000000,4012000000000000,100
4044000000000000,4059000000000000,4022000000000000,100
405fc00000000000,0000000000000000,bff0000000000000,0
405fc00000000000,0000000000000000,0000000000000000,0
405fc00000000000,0000000000000000,3fe0000000000000,0
405fc00000000000,0000000000000000,3ff0000000000000,0
405fc00000000000,0000000000000000,3ff8000000000000,42
405fc00000000000,0000000000000000,4000000000000000,42
405fc00000000000,0000000000000000,4008000000000000,85
405fc00000000000,0000000000000000,4010000000000000,127
405fc00000000000,0000000000000000,4012000000000000,127
405fc00000000000,0000000000000000,4022000000000000,127
4050000000000000,4050000000000000,bff0000000000000,0
4050000000000000,4050000000000000,0000000000000000,0
4050000000000000,4050000000000000,3fe0000000000000,64
4050000000000000,4050000000000000,3ff0000000000000,64
4050000000000000,4050000000000000,3ff8000000000000,64
4050000000000000,4050000000000000,4000000000000000,64
4050000000000000,4050000000000000,4008000000000000,64
4050000000000000,4050000000000000,4010000000000000,64
4050000000000000,4050000000000000,4012000000000000,64
4050000000000000,4050000000000000,4022000000000000,64
# gate: seed,density_bits,index,value
1,0000000000000000,0,0
1,0000000000000000,1,0
1,0000000000000000,2,0
1,0000000000000000,3,0
1,0000000000000000,4,0
1,0000000000000000,5,0
1,0000000000000000,6,0
1,0000000000000000,7,0
1,3fd0000000000000,0,0
1,3fd0000000000000,1,1
1,3fd0000000000000,2,0
1,3fd0000000000000,3,0
1,3fd0000000000000,4,0
1,3fd0000000000000,5,0
1,3fd0000000000000,6,0
1,3fd0000000000000,7,0
1,3fe8000000000000,0,1
1,3fe8000000000000,1,1
1,3fe8000000000000,2,1
1,3fe8000000000000,3,0
1,3fe8000000000000,4,0
1,3fe8000000000000,5,1
1,3fe8000000000000,6,1
1,3fe8000000000000,7,1
1,3ff0000000000000,0,1
1,3ff0000000000000,1,1
1,3ff0000000000000,2,1
1,3ff0000000000000,3,1
1,3ff0000000000000,4,1
1,3ff0000000000000,5,1
1,3ff0000000000000,6,1
1,3ff0000000000000,7,1
42,0000000000000000,0,0
42,0000000000000000,1,0
42,0000000000000000,2,0
42,0000000000000000,3,0
42,0000000000000000,4,0
42,0000000000000000,5,0
42,0000000000000000,6,0
42,0000000000000000,7,0
42,3fd0000000000000,0,0
42,3fd0000000000000,1,0
42,3fd0000000000000,2,0
42,3fd0000000000000,3,0
42,3fd0000000000000,4,1
42,3fd0000000000000,5,0
42,3fd0000000000000,6,0
42,3fd0000000000000,7,0
42,3fe8000000000000,0,1
42,3fe8000000000000,1,1
42,3fe8000000000000,2,0
42,3fe8000000000000,3,1
42,3fe8000000000000,4,1
42,3fe8000000000000,5,1
42,3fe8000000000000,6,1
42,3fe8000000000000,7,1
42,3ff0000000000000,0,1
42,3ff0000000000000,1,1
42,3ff0000000000000,2,1
42,3ff0000000000000,3,1
42,3ff0000000000000,4,1
42,3ff0000000000000,5,1
42,3ff0000000000000,6,1
42,3ff0000000000000,7,1
# nextStepIndex: order,seed,length,step,index,pos,last,bval_bits
original,1,1,0,0,1,0,3fe0000000000000
original,1,1,1,0,2,0,3fe0000000000000
original,1,1,2,0,3,0,3fe0000000000000
original,1,1,3,0,4,0,3fe0000000000000
original,1,1,4,0,5,0,3fe0000000000000
original,1,1,5,0,6,0,3fe0000000000000
original,1,1,6,0,7,0,3fe0000000000000
original,1,1,7,0,8,0,3fe0000000000000
